"","X","name","location","lon","lat"
"1558",1558,"docmasse","Williamsport",-77.0010786,41.2411897
"1559",1559,"driizzyy98","Morgantown, WV",-79.9558968,39.629526
"1560",1560,"autumn_nicole17","Lynchburg, VA",-79.1422464,37.4137536
"1561",1561,"_Jacqui98_","Weatherford, Oklahoma",-98.7075744,35.5261633
"1562",1562,"wsoctv","Charlotte, NC",-80.8431267,35.2270869
"1563",1563,"eveross","Columbia, SC",-81.0348144,34.0007104
"1564",1564,"AllyshaHamber","STL, Missouri",-90.1994042,38.6270025
"1565",1565,"peaceluvgators","Denver, CO ",-104.990251,39.7392358
"1566",1566,"CDT2024","Tennessee",-86.5804473,35.5174913
"1567",1567,"nickerzplz","Salt Lake City, UT",-111.8910474,40.7607793
"1568",1568,"choji__akimichi","Savannah, GA",-81.091203,32.0808989
"1569",1569,"Kirby78Lexie","Conneaut, OH",-80.5542409,41.9475551
"1570",1570,"TheBoyTroyJr","Toledo, OH",-83.5378674,41.6528052
"1571",1571,"EllieT25","Raleigh, NC",-78.6381787,35.7795897
"1572",1572,"DrJamesCKPorter","Burlington, Ontario",-79.7990319,43.3255196
"1573",1573,"backwoodsbabble","Nevada",-116.419389,38.8026097
"1574",1574,"PCNedStark","Rocky Mountains",-109.7869527,44.2642998
"1575",1575,"Averimt","Tennessee, USA",-86.5804473,35.5174913
"1576",1576,"Brunswicker_","Halifax, Nova Scotia",-63.5752387,44.6487635
"1577",1577,"Vibronium","California, USA",-119.4179324,36.778261
"1578",1578,"Avelaitixa","Illinois",-89.3985283,40.6331249
"1579",1579,"mimetic_","Canada",-106.346771,56.130366
"1580",1580,"MissMissfitt","wonderland",-79.5394625,43.8430176
"1581",1581,"NoelleAmarie","Indiana, USA",-86.1349019,40.2671941
"1582",1582,"DrJustinGroode","United States",-95.712891,37.09024
"1583",1583,"shoelessjp","Delaware, United States",-75.5276699,38.9108325
"1584",1584,"margaretpinili","Maumelle, AR",-92.4043219,34.8667565
"1585",1585,"RUMMYRAISIN_","Brooklyn, NY",-73.9441579,40.6781784
"1586",1586,"MostSelfless1","Nashville, TN",-86.7816016,36.1626638
"1587",1587,"WTVAalan","Tupelo & Columbus",-88.7033859,34.2576066
"1588",1588,"ricospeczz","Toronto, Canada",-79.3831843,43.653226
"1589",1589,"sooperjule","St Louis, MO",-90.1994042,38.6270025
"1590",1590,"TaraWatts","Marietta, Georgia",-84.5499327,33.952602
"1591",1591,"amzngspcshp","United States",-95.712891,37.09024
"1592",1592,"WilhelmDavis","Minneapolis, MN",-93.2650108,44.977753
"1593",1593,"latebloomerprss","Ohio, USA",-82.907123,40.4172871
"1594",1594,"Dbeckley1","New Hudson, MI",-83.6082346,42.5149364
"1595",1595,"kristinanlegget","Wilmington Island, GA",-80.973723,32.0035477
"1596",1596,"PattersonPals","Murfreesboro, TN",-86.39027,35.8456213
"1597",1597,"MirunaBarnoschi","Chicago, IL",-87.6297982,41.8781136
"1598",1598,"MPowerHockey","Toronto/Boston",-79.3389326,43.6614689
"1599",1599,"SelinaZavala","California, USA",-119.4179324,36.778261
"1601",1601,"catdad5000","North Carolina, USA",-79.0192997,35.7595731
"1602",1602,"KissRoyBoy","Charlotte, NC",-80.8431267,35.2270869
"1603",1603,"iluveducating","NC",-79.0192997,35.7595731
"1604",1604,"13thgenusa","Brooklyn, NY",-73.9441579,40.6781784
"1605",1605,"_feLyfeL","TEXAS",-99.9018131,31.9685988
"1606",1606,"bema01","Braintree, Ma",-71.0040013,42.2079017
"1607",1607,"its_xLo","United States",-95.712891,37.09024
"1608",1608,"NicoleandStan","Somewhere in Texas",-96.5149979,32.7138476
"1609",1609,"GodNino","Cleveland, OH",-81.6943605,41.49932
"1610",1610,"raychullzz","United States",-95.712891,37.09024
"1611",1611,"longlivekermy_","New Jersey, USA",-74.4056612,40.0583238
"1612",1612,"SoyChapo940","Vernon, TX",-99.2650804,34.1545306
"1613",1613,"Elizabeth_S3803","Florida",-81.5157535,27.6648274
"1614",1614,"iluvnooder","Tennessee, USA",-86.5804473,35.5174913
"1615",1615,"TiggyBean","NC",-79.0192997,35.7595731
"1616",1616,"pink_cashmere_","California ",-119.4179324,36.778261
"1617",1617,"DumancicBraco","New York, NY",-74.0059728,40.7127753
"1618",1618,"ophiryotam","Philadelphia, PA",-75.1652215,39.9525839
"1619",1619,"catttwin","Tampa, FL",-82.4571776,27.950575
"1620",1620,"NotesFrom_Boog","Maryland, USA",-76.6412712,39.0457549
"1621",1621,"NaturesPavilion","Pompton plains, NJ",-74.2958532,40.9681661
"1622",1622,"dannyrolltribe","Savannah, GA",-81.091203,32.0808989
"1623",1623,"mmelgar09","United States",-95.712891,37.09024
"1624",1624,"URAC","Washington, DC",-77.0368707,38.9071923
"1625",1625,"RiverWhimsie","Nova Scotia, Canada",-63.744311,44.6819866
"1626",1626,"ddot82","STL",-90.1994042,38.6270025
"1627",1627,"CatsNapsSnacks","cleveland ohio",-81.6943605,41.49932
"1628",1628,"Princessx636","Johnson City, TN",-82.3534727,36.3134397
"1629",1629,"kconlon1","Port Jefferson Station, NY",-73.0473284,40.9253764
"1630",1630,"DJRobertoManias","Toronto, Canada",-79.3831843,43.653226
"1631",1631,"sincerelydianae","White Mountains, NH",-71.4325573,44.1643804
"1632",1632,"curlybinch","pillow",-96.8206545,32.7866999
"1633",1633,"Chortling_Man","Kansas City, MO",-94.5785667,39.0997265
"1634",1634,"faithangel2k","Upstate New York",-76.1398137,43.0422845
"1635",1635,"heavenramsey9","Tn",-86.5804473,35.5174913
"1636",1636,"ravellopez","Nebraska",-99.9018131,41.4925374
"1637",1637,"asiamarysia143","Connecticut, USA",-73.087749,41.6032207
"1638",1638,"ella_btsarmy","United States",-95.712891,37.09024
"1639",1639,"jamillio__","Florida, USA",-81.5157535,27.6648274
"1640",1640,"DominikGilespie","Kenosha Wisconsin",-87.8211854,42.5847425
"1641",1641,"Pbguy53Paul","Willow Grove, PA",-75.1157286,40.1439985
"1642",1642,"MegsOnTwitch","California, USA",-119.4179324,36.778261
"1643",1643,"ArlisFernandez","New York, USA",-74.0059728,40.7127753
"1645",1645,"UCOrientation","University of Toronto",-79.3956564,43.6628917
"1646",1646,"JaciCJackson","New York, USA",-74.0059728,40.7127753
"1647",1647,"__TheLadyReese","Alabama, USA",-86.902298,32.3182314
"1648",1648,"tarunjainmd","Chicago IL",-87.6297982,41.8781136
